;coeditor1;coeditor2;count
2006;Lafrance;Przychodzen;1
1846;Lestringant;Ternaux;1
1856;Dawson;Waldinger;1
1855;Groden;Kreiswirth;1
1837;Cismaru;Troyansky;1
2028;Paquot;Younès;1
2029;Brender;Krasnoff;1
1833;Kramarae;Spender;1
2031;Dion;Fournier-Plamondon;1
2032;Fournier-Plamondon;Massé;1
2033;Dion;Plourde;1
1832;Grinshpun;Régent-Susini;1
1831;Fournier;Régent-Susini;1
1830;Fournier;Grinshpun;1
2034;Massé;Plourde;1
1829;Branca-Rosoff;Régent-Susini;1
1828;Branca-Rosoff;Grinshpun;1
1827;Branca-Rosoff;Fournier;1
1826;Grosse;Neis;1
2035;Fülberth;Meier;1
1825;Miranda;Moore;1
2036;Ferretti;Fülberth;1
2037;Ferretti;Meier;1
2038;Béniak;Mougeon;1
2039;Barton;Macinnes;1
2040;German;Macinnes;1
2041;Barton;German;1
1838;Jr.;Troyansky;1
2027;Raynaud;Rials;1
2026;Palumbo;Postigliola;1
1849;Porte;Ternaux;1
2018;Delabastita;d’ Hulst;1
2019;Bardet;Durocher;1
1854;Melzer;Rabine;1
2020;Bélanger;Coupal;1
2021;Bélanger;Ducharme;1
2022;Coupal;Ducharme;1
1853;Schulz-Buschhaus;Stierle;1
1852;Volpilhac-Auger;lacollaborationde DanielSangsue;1
1851;Létoublon;lacollaborationde DanielSangsue;1
1850;Létoublon;Volpilhac-Auger;1
1848;Néraudau;Ternaux;1
1839;Cismaru;Jr.;1
1847;Néraudau;Porte;1
2004;Brissette;Przychodzen;1
1845;Lestringant;Porte;1
2024;Ferté;Rey;1
2025;Grell;Volpilhac-Auger;1
1844;Lestringant;Néraudau;1
1843;Keller;al.;1
1842;Siouffi;Steuckard;1
1841;Bourg;Papaux;1
1840;Bugiac;Popa;1
1874;Reichmann;Wiegand;1
1950;L’Aminot;Thiéry;1
1875;Reichmann;Zgusta;1
1918;Simonet-Tenant;lacollaborationde MichelBraud;1
1928;Marchand;Pavy-Guilbert;1
1927;Lejeune;Montémont;1
1964;Pratt;Rolls;1
1965;Burwick;Pape;1
1926;Jeannelle;Montémont;1
1925;Jeannelle;Lejeune;1
1966;Milon;Perelman;1
1924;Montémont;lacollaborationde MichelBraud;1
1923;Lejeune;lacollaborationde MichelBraud;1
1922;Jeannelle;lacollaborationde MichelBraud;1
1921;Montémont;Simonet-Tenant;1
1920;Lejeune;Simonet-Tenant;1
1919;Jeannelle;Simonet-Tenant;1
1917;Laquerre;Massé;1
1977;Gaehtgens;Schieder;1
1967;Best;Collier;1
1916;Landry;Massé;1
1968;Hasumi;Kudo;1
1969;Bourgeois;D’Hondt;1
1970;Goetz;Trognon;1
1971;Kintzler;Rizk;1
1972;Gribenski;Mussat;1
1973;Gribenski;Schneider;1
1974;Mussat;Schneider;1
1975;Gaehtgens;Michel;1
1976;Gaehtgens;Rabreau;1
1915;Landry;Laquerre;1
1914;Bourassa;Massé;1
1929;Gnocchi;Imbroscio;1
1930;Fortunati;Steimberg;1
1931;Butterworth;Robson;1
1963;McCormack;Rolls;1
1952;Furlough;da Grazia;1
1953;Adlam;Simpson;1
1954;Joubert;Ploton-Nicollet;1
1955;Kelley;Popkin;1
1956;Jørgensen;Rüth;1
1957;Melzer;Norberg;1
1949;L’Aminot;Stroev;1
1948;Pomeau;Thiéry;1
1958;Kaplan;Koepp;1
1947;Pomeau;Stroev;1
1946;L’Aminot;Pomeau;1
1945;Fétro;Ritz-Guilbert;1
1944;Barton;Hopkins;1
1943;Jeanneret;Rizek;1
1942;Hunkeler;Rizek;1
1959;Martin;Pickford;1
1939;Frantz;Jacob;1
1937;Gambelli;Mariotti;1
1936;Ferran;Mariotti;1
1935;Ferran;Gambelli;1
1934;Carolis;Mariotti;1
1933;Carolis;Gambelli;1
1960;Epstein;Straub;1
1961;Timm;Uzcanga;1
1962;McCormack;Pratt;1
1932;Carolis;Ferran;1
1823;Angel-Perez;Lecercle;1
1913;Bourassa;Laquerre;1
1912;Bourassa;Landry;1
1876;Wiegand;Zgusta;1
1882;Henryot;Masson;1
1891;Brunori;Dauchy;1
1890;Steinke;Stuber;1
1889;Holenstein;Stuber;1
1888;Holenstein;Steinke;1
1887;Siess;Valency;1
1886;Chouquer;Daumas;1
1990;Krumenacker;Recous;1
1991;Krumenacker;Martin;1
1885;Brémard;Rolland;1
1992;Hüning;Michel;1
1993;Hüning;Thomas;1
1884;Duprat;Lavocat;1
1883;Martin;Masson;1
1951;Stroev;Thiéry;1
1911;Doumergue;Goetz;1
1880;Andriot;Masson;1
1879;Andriot;Martin;1
1995;Domergue;Lamoine;1
1878;Andriot;Henryot;1
1996;Clark;Lafrance;1
1997;Lobrano;Onida;1
1998;Bach;avec CatherineLabro;1
1999;Lassauzet;Montandon;1
2000;Przychodzen;Segura;1
1877;Corradine;Vauthier;1
2001;Brissette;Segura;1
2002;Choinière;Segura;1
2003;Lafrance;Segura;1
1892;Brunori;Descamps;1
1893;Brunori;Prévost;1
1894;Dauchy;Descamps;1
1895;Dauchy;Prévost;1
1910;Doumergue;Verdier;1
1909;Goetz;Verdier;1
1908;Dmitriev;Gonneau;1
1978;Michel;Rabreau;1
1907;Gonneau;Lemaître;1
1906;Dmitriev;Lemaître;1
1905;Dubel;Montandon;1
1979;Michel;Schieder;1
1980;Rabreau;Schieder;1
1904;Ham;Senior;1
1981;Fauskevag;Kolder;1
1982;Still;Worton;1
1983;Bender;Marrinan;1
1984;Klein;Parayre;1
1985;Guillot;Jambou;1
1986;Boudet;Faure;1
1903;Cornilliat;Shaw;1
1902;Bischof;de Franceschi;1
1987;Boudet;Renoux;1
1988;Faure;Renoux;1
1901;Louvat-Mozolay;March;1
1900;Clavien;Müller;1
1899;David;Thomas;1
1898;Bancel;Thomas;1
1897;Bancel;David;1
1896;Descamps;Prévost;1
1989;Krief;Requemora;1
1994;Michel;Thomas;1
1764;Berchet;Berthier;1
1822;Abramovici;Jiménez;1
1605;Dahan-Gaida;Maillard;1
1584;Cléren;Torrent;1
1585;Mounier-Vehier;Soudy-Quazuguel;1
1586;Mounier-Vehier;Torrent;1
1587;Soudy-Quazuguel;Torrent;1
1588;Artigas-Menant;Popin;1
1589;Artigas-Menant;lacollaborationde Marie-EmmanuellePlagnol;1
1590;Popin;lacollaborationde Marie-EmmanuellePlagnol;1
1591;Couegnas;Peyrache-Leborgne;1
1592;Hyde;Ledbury;1
1596;Lavocat;Murcia;1
1597;Lavocat;R.Salado;1
1598;Murcia;R.Salado;1
1599;O’Gorman;Turner;1
1600;Daniel;Montandon;1
1601;Lévy;Tsikounas;1
1602;Desbarats;Dépatie;1
1603;Dépatie;al.;1
1583;Cléren;Soudy-Quazuguel;1
1582;Cléren;Mounier-Vehier;1
1581;Goff;Vickermann-Ribémont;1
1571;Devaux;Parejo;1
1564;Ipotési;Porcelli;1
1565;Bel;Devaux;1
1566;Bel;Escudero;1
1567;Bel;Parejo;1
1568;Bel;Vázquez;1
1569;Bel;Vetters;1
1570;Devaux;Escudero;1
1572;Devaux;Vázquez;1
1580;Beaulande-Barraud;Charageat;1
1573;Devaux;Vetters;1
1574;Escudero;Parejo;1
1575;Escudero;Vázquez;1
1576;Escudero;Vetters;1
1577;Parejo;Vázquez;1
1578;Parejo;Vetters;1
1579;Vetters;Vázquez;1
1604;Desbarats;al.;1
1606;Dahan-Gaida;Séginger;1
1821;Baratin;Jacob;1
1607;Dahan-Gaida;Talairach;1
1628;Conrad;Leblond;1
1629;Huenen;Perron;1
1630;Perron;Vachon;1
1631;Huenen;Vachon;1
1633;Kennan;Tempera;1
1634;Anderson;Santaliestra;1
1635;Anderson;Suner;1
1636;Santaliestra;Suner;1
1638;Fulda;Jost;1
1639;Anselmini;Diaz;1
1640;Anselmini;Meier;1
1642;Jr.;Roider;1
1643;Horgan;Roider;1
1644;Horgan;Jr.;1
