;coeditor1;coeditor2;count
1351;Closson_Marianne;Grande_Nathalie;2
1363;Salaün_Franck;Taïeb_Patrick;2
1362;Cook_Malcolm;Jourdan_Annie;2
1359;Lüsebrink_Hans-Jürgen;Mix_York-Gothard;2
1357;Charle_Christophe;Lüsebrink_Hans-Jürgen;2
1355;Grande_Nathalie;Tranié_Ghislain;2
1354;Grande_Nathalie;Nédelec_Claudine;2
1444;Montalbetti_Christine;Neefs_Jacques;2
1595;Lecoquierre_Bruno;Wauters_Éric;2
1445;Ferrer_Véronique;Ramond_Catherine;2
2101;Mollier_Jean-Yves;de FreitasDutra_Eliana;2
3128;Bertrand_Gilles;Serna_Pierre;2
2087;Fickert_Bianca;Lüsebrink_Hans-Jürgen;2
2088;Fickert_Bianca;Mix_York-Gothart;2
1469;Cormier_Jacques;Pelckmans_Paul;2
1454;Hersant_Marc;Tourrette_Éric;2
4125;Calle-Gruber_Mireille;Didier_Béatrice;2
4124;Didier_Béatrice;Fouque_Antoinette;2
4559;Lequan_Mai;Sosoe_Lukas;2
4560;Grapotte_Sophie;Lang_Dimitri;2
4561;Lang_Dimitri;Lequan_Mai;2
162;Hersant_Marc;Jomand-Baudry_Régine;2
570;Belleguic_Thierry;Vasak_Anouchka;2
147;Biard_Michel;Gainot_Bernard;2
148;Biard_Michel;Pasteur_Paul;2
151;Gainot_Bernard;Serna_Pierre;2
152;Pasteur_Paul;Serna_Pierre;2
156;Bourdin_Philippe;Serna_Pierre;2
157;Leuwers_Hervé;Serna_Pierre;2
534;Roulin_Jean-Marie;Saminadayar-Perrin_Corinne;2
576;Bordas_Éric;Roulin_Jean-Marie;2
497;Boulad-Ayoub_Josiane;Vernes_Paule-Monique;2
496;Boulad-Ayoub_Josiane;Schulte-Tenckhoff_Isabelle;2
180;Berchtold_Jacques;Habib_Claude;2
529;Bahier-Porte_Christelle;Schweitzer_Zoé;2
520;Morrissey_Robert;Roger_Philippe;2
519;Fayet_Jean-François;Fluckiger_Carine;2
518;Fluckiger_Carine;Porret_Michel;2
572;Borgne_Françoise Le;Bourdin_Philippe;2
645;Brandli_Fabrice;Cicchini_Marco;2
123;Kremer_Nathalie;Peeters_Kris;2
125;Peeters_Kris;Vanacker_Beatrijs;2
674;Seth_Catriona;von Kulessa_Rotraud;2
601;Paschoud_Adrien;Pépin_François;2
136;Belleguic_Thierry;Turcot_Laurent;2
628;Brunat_Éric;Kohlhauer_Michael;2
627;Brunat_Éric;Clerc_Florence;2
626;Bouvier_Pascal;Brunat_Éric;2
625;Barthélémy_Annie;Brunat_Éric;2
623;Porret_Michel;Volpilhac-Auger_Catherine;2
621;Lecointre_Guillaume;Pépin_François;2
620;Barroux_Gilles;Pépin_François;2
3514;Burnand_Léonard;Poisson_Guillaume;2
491;Bernardi_Bruno;Guénard_Florent;2
490;Bernardi_Bruno;Charrak_André;2
489;Bachofen_Blaise;Guénard_Florent;2
352;Coudreuse_Anne;Seth_Catriona;2
340;Castioni_Barbara Selmeci;Lojkine_Stéphane;2
401;Charageat_Martine;Soula_Mathieu;2
389;Leuwers_Hervé;Simien_Côme;2
388;Bourdin_Philippe;Simien_Côme;2
387;Biard_Michel;Simien_Côme;2
384;Antoine_François;Bourdin_Philippe;2
383;Antoine_François;Biard_Michel;2
339;Lojkine_Stéphane;Paschoud_Adrien;2
488;Bachofen_Blaise;Charrak_André;2
296;Denis_Vincent;Porret_Michel;2
280;Bournonville_Coralie;Faulot_Audrey;2
281;Bournonville_Coralie;Pelvilain_Sergine;2
282;Duflo_Colas;Faulot_Audrey;2
283;Duflo_Colas;Pelvilain_Sergine;2
197;Knabe_Peter-Eckhard;Mortier_Roland;2
199;Mortier_Roland;Moureau_François;2
447;Antoine-Mahut_Delphine;Torero-Ibad_Alexandra;2
446;Antoine-Mahut_Delphine;Boulad-Ayoub_Josiane;2
486;Porret_Michel;Salvi_Élisabeth;2
